,Month,Kind of Business,Sales,Percent Change
0,1992-01-01,Retail and food services sales total,146376.0,
1,1992-02-01,Retail and food services sales total,147079.0,0.0048026998961578915
2,1992-03-01,Retail and food services sales total,159336.0,0.08333616627798657
3,1992-04-01,Retail and food services sales total,163669.0,0.027194105537982738
4,1992-05-01,Retail and food services sales total,170068.0,0.03909720228021185
5,1992-06-01,Retail and food services sales total,168663.0,-0.00826140132182418
6,1992-07-01,Retail and food services sales total,169890.0,0.007274861706479729
7,1992-08-01,Retail and food services sales total,170364.0,0.0027900406145153767
8,1992-09-01,Retail and food services sales total,164617.0,-0.033733652649620804
9,1992-10-01,Retail and food services sales total,173655.0,0.05490319954804179
10,1992-11-01,Retail and food services sales total,171547.0,-0.012139011257954024
11,1992-12-01,Retail and food services sales total,208838.0,0.21738065952770969
12,1993-01-01,Retail and food services sales total,153221.0,-0.26631647497103017
13,1993-02-01,Retail and food services sales total,150087.0,-0.0204541152975114
14,1993-03-01,Retail and food services sales total,170439.0,0.13560135121629457
15,1993-04-01,Retail and food services sales total,176456.0,0.03530295296264363
16,1993-05-01,Retail and food services sales total,182231.0,0.03272770549032056
17,1993-06-01,Retail and food services sales total,181535.0,-0.0038193282152871877
18,1993-07-01,Retail and food services sales total,183682.0,0.011826920428567478
19,1993-08-01,Retail and food services sales total,183318.0,-0.00198168573948454
20,1993-09-01,Retail and food services sales total,177406.0,-0.032249969997490746
21,1993-10-01,Retail and food services sales total,182737.0,0.030049716469567
22,1993-11-01,Retail and food services sales total,187443.0,0.025752857932438422
23,1993-12-01,Retail and food services sales total,224540.0,0.19791083155946065
24,1994-01-01,Retail and food services sales total,161349.0,-0.2814242451233633
25,1994-02-01,Retail and food services sales total,162841.0,0.009247035928329206
26,1994-03-01,Retail and food services sales total,192319.0,0.1810232066862767
27,1994-04-01,Retail and food services sales total,189569.0,-0.014299159209438472
28,1994-05-01,Retail and food services sales total,194927.0,0.028264114913303384
29,1994-06-01,Retail and food services sales total,197946.0,0.015487849297429301
30,1994-07-01,Retail and food services sales total,193355.0,-0.02319319410344234
31,1994-08-01,Retail and food services sales total,202388.0,0.04671717824726529
32,1994-09-01,Retail and food services sales total,193954.0,-0.04167243117180863
